Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type,31-07-2025,Estimated Asset Value (USD),Missing Valuation
AR1318,490 E COLLEGE STREET,,L,7,490 E COLLEGE ST,BATESVILLE,AR,72501,35.771298,-91.649682,9698.0,,2000.0,501,Eric Crawford,Active,BUILDING,169420.6054,1643041031.1692,False
FL2497,SOUTH TRUST TOWER,,L,4,1 E BROWARD BLVD,FORT LAUDERDALE,FL,33301,26.12281,-80.143241,10066.0,,2000.0,1223,Jared Moskowitz,Active,BUILDING,860542.6129,8662221941.451399,False
MA5842,10 BEARFOOT ROAD,,L,1,10 BEARFOOT RD,NORTHBOROUGH,MA,1532,42.34363,-71.624991,20893.0,,2000.0,2502,James McGovern,Active,BUILDING,699149.9622,14607340160.244598,False
TN2166,"FED-X, INTERNATIONAL SORT BLDG",,L,4,2903 SPRANKLE AVE,MEMPHIS,TN,38118,35.06452,-89.967522,125.0,,2000.0,4709,Steve Cohen,Active,BUILDING,124732.5898,15591573.725,False
TX3020,2030 N. HIGHWAY 360,,L,7,2030 N STATE HIGHWAY 360,GRAND PRAIRIE,TX,75050,32.7832059,-97.05945,4040.0,,2000.0,4833,Marc Veasey,Active,BUILDING,276045.1902,1115222568.408,False
TX0164,HIPOLITO F. GARCIA FEDERAL BUILDING AND US COURTHOUSE,,F,7,615 E HOUSTON ST,SAN ANTONIO,TX,78205,29.42703,-98.486271,217786.18,,1937.0,4828,Henry Cuellar,Active,BUILDING,579031.3482,126105025424.72787,False
FL3140,"11200 NW DOLPHIN COMMERCE CENTER, MIAMI, FL",,L,4,11200 NW 20TH ST,MIAMI,FL,33172,25.7914,-80.377431,12517.0,,2000.0,1228,Carlos Gimenez,Active,BUILDING,307361.4782,3847243622.6294003,False
AK3219,RHINE BUILDING,,L,10,2770 SHERWOOD LN,JUNEAU,AK,99801,58.3716941,-134.61722,9433.0,,2000.0,200,Mary Peltola,Active,BUILDING,477225.6348,4501669413.0684,False
DC0368,INDIANA PLAZA,,L,11,625 INDIANA AVE NW,WASHINGTON,DC,20004,38.89456,-77.020711,150888.0,,2000.0,1198,Eleanor Norton,Active,BUILDING,443126.9805,66862543833.684,False
TX2508,EAST TEXAS REGIONAL AIRPORT,,L,7,269 TERMINAL CIR,LONGVIEW,TX,75603,32.3873871,-94.719431,489.0,,2000.0,4801,Nathaniel Moran,Active,BUILDING,236926.6617,115857137.5713,False
OK1449,WEST OAKS,,L,7,2227 WEST LINDSEY STREET,NORMAN,OK,73069,35.2038224,-97.475153,2044.0,,2000.0,4004,Tom Cole,Active,BUILDING,241822.8382,494285881.2808,False
FL1077,104 PARTISAN COURT,,L,4,104 PARTISAN CT,JUPITER,FL,33478,26.9294711,-80.1561911,3003.0,,2025.0,1221,Brian Mast,Active,BUILDING,851381.2951,2556698029.1853,False
CA7391,PAC. RIM PROF. PLAZA,,L,9,2297 NIELS BOHR CT,SAN DIEGO,CA,92154,32.5566,-116.93931,7434.0,,2001.0,652,Juan Vargas,Active,BUILDING,735997.8467,5471407992.3678,False
MS2181,202 METROPLEX BLDG,,L,4,202 METROPLEX BLVD,PEARL,MS,39208,32.29019,-90.059601,17663.0,,2000.0,2803,Michael Guest,Active,BUILDING,206192.9328,3641985772.0464,False
FL3312,SR 64 E BLDG,,L,4,5540 SR-64 E,BRADENTON,FL,34208,27.493969,-82.491648,11359.0,,2009.0,1216,Vern Buchanan,Active,BUILDING,330311.8995,3752012866.4205,False
AK3484,POST OFFICE CT. JAIL,,L,10,113 FRONT ST,NOME,AK,99762,64.4980326,-165.40919,10865.0,,1958.0,200,Mary Peltola,Active,BUILDING,,,True
CA6917,220 VINEYARD COURT,,L,9,220 VINEYARD CT,MORGAN HILL,CA,95037,37.11628,-121.64085,10132.0,,2000.0,618,Zoe Lofgren,Active,BUILDING,1319512.197,13369297580.004,False
MA6050,MERCHANTS ROW,,L,1,2053 WASHINGTON STREET,HANOVER,MA,2339,42.156252,-70.8486255,6465.0,,2000.0,2509,William Keating,Active,BUILDING,805957.3773,5210514444.2445,False
KY2055,FT. MITCHELL STATION,,L,4,2220 GRANDVIEW DR,FORT MITCHELL,KY,41017,39.05165,-84.569141,8219.0,,2000.0,2104,Thomas Massie,Active,BUILDING,325586.9475,2675999121.5025,False
TN2466,OSBORNE OFFICE CENTER,,L,4,5746 MARLIN RD,CHATTANOOGA,TN,37411,35.0091,-85.207951,62153.0,,2000.0,4703,Charles Fleischmann,Active,BUILDING,239703.4018,14898285532.0754,False
